Left hand keypoints:
1144.122925 460.702972 0.593818
1084.503174 427.071350 0.682522
1034.055664 388.853577 0.868174
1006.538879 344.520935 0.784335
982.079529 304.774475 0.738859
1034.055664 368.980316 0.538642
986.665649 318.532867 0.696492
959.148865 292.544769 0.863099
934.689514 265.027985 0.872673
1058.515137 350.635803 0.781947
1018.768616 291.016052 0.883642
995.837952 254.326996 0.875106
971.378540 217.637939 0.917763
1093.675415 339.934814 0.848293
1066.158691 272.671539 0.860683
1053.928955 235.982468 0.832653
1035.584473 202.350830 0.917799
1128.835815 327.705139 0.825545
1124.249634 277.257660 0.798056
1119.663574 242.097305 0.919266
1116.606079 206.936966 0.981295
