Left hand keypoints:
1208.331909 507.116882 0.314936
1154.075806 445.859985 0.597435
1112.071045 370.601501 0.701943
1089.318481 277.841064 0.772219
1099.819702 202.582581 0.767416
1189.079712 297.093231 0.565183
1159.326294 235.836319 0.757272
1143.574585 169.328827 0.687629
1140.074219 104.571533 0.738436
1245.086060 305.844208 0.557570
1252.086792 192.081390 0.655332
1260.837769 123.823700 0.571357
1274.839355 108.071930 0.073167
1292.341309 319.845795 0.637104
1337.846436 207.833160 0.790382
1360.598999 134.324890 0.589005
1367.599854 108.071930 0.148124
1337.846436 346.098755 0.645243
1385.101807 279.591248 0.692375
1409.604492 227.085342 0.841693
1434.107300 176.329620 0.797996
