Left hand keypoints:
1108.166870 431.988953 0.620778
1053.693237 392.836090 0.544763
1000.922058 380.920013 0.466435
983.899048 365.599335 0.276485
985.601379 341.767151 0.208168
995.815186 377.515411 0.648664
949.853088 348.576355 0.812791
929.425537 312.828094 0.793523
905.593384 280.484436 0.836088
1024.754272 365.599335 0.525472
982.196777 334.957947 0.620175
958.364624 311.125793 0.438032
941.341614 283.889008 0.567759
1040.074951 348.576355 0.594510
1017.945007 311.125793 0.596327
1009.433533 277.079834 0.413860
982.196777 243.033875 0.712435
1074.120850 336.660248 0.644071
1045.181763 295.805115 0.639683
1024.754272 270.270630 0.585319
989.005981 244.736176 0.382472
