Left hand keypoints:
1110.169922 429.066833 0.624238
1053.253174 391.122314 0.520846
1004.960083 385.948059 0.458393
982.538330 366.975800 0.186146
985.987854 344.554016 0.202142
1001.510620 384.223297 0.552070
954.942322 348.003540 0.766955
929.071045 316.958008 0.787349
906.649292 277.288727 0.838636
1027.381836 370.425293 0.495041
982.538330 337.655029 0.585749
954.942322 306.609497 0.434726
939.419556 279.013458 0.516573
1048.078857 354.902527 0.516891
1017.033325 318.682739 0.454270
1011.859131 287.637238 0.376103
982.538330 244.518433 0.742450
1070.500610 332.480774 0.631497
1041.179932 296.260986 0.443709
1023.932373 273.839203 0.490485
1013.583862 263.490692 0.302593
