Left hand keypoints:
1159.504761 1042.331055 0.007639
1196.382690 996.876831 0.014713
1186.948853 953.995544 0.007956
1185.233643 950.565002 0.007014
1205.816650 974.578552 0.002362
1198.098022 985.727722 0.009319
1211.820068 973.720947 0.010137
1210.962402 972.005676 0.007058
1222.969116 1014.029358 0.003854
1206.674316 973.720947 0.007190
1209.247192 973.720947 0.005441
1206.674316 976.293823 0.004518
1225.541992 1026.036133 0.002312
1206.674316 972.005676 0.006314
1204.958984 975.436157 0.006093
1204.101440 978.866699 0.005241
1238.406494 1029.466675 0.004243
1207.531860 964.287048 0.006516
1192.094604 982.297180 0.006201
1204.101440 980.581970 0.005143
1237.548828 1025.178467 0.003026
