Left hand keypoints:
1262.588257 519.438599 0.191231
1230.028442 423.674713 0.444551
1214.706299 318.334442 0.361995
1222.367310 226.401108 0.505930
1264.503418 157.451096 0.210377
1274.079834 301.096924 0.226873
1264.503418 190.010818 0.296561
1308.554810 153.620544 0.246832
1310.470093 157.451096 0.079712
1321.961792 314.503876 0.359658
1316.215942 205.333054 0.514235
1323.877075 157.451096 0.115228
1398.572876 157.451096 0.034836
1369.843750 329.826111 0.435593
1415.810425 212.994156 0.696564
1431.132690 153.620544 0.296761
1427.302124 157.451096 0.025684
1417.725708 347.063599 0.595015
1475.184082 283.859436 0.677123
1515.404907 237.892776 0.779913
1551.795166 191.926102 0.678075
