Left hand keypoints:
1198.119019 501.001434 0.481649
1140.780029 435.230286 0.669187
1095.246094 357.654053 0.763418
1096.932617 283.450684 0.767289
1108.737671 210.933762 0.852728
1161.017334 288.510010 0.573944
1137.407104 192.382919 0.846969
1128.974976 124.925323 0.714598
1128.974976 96.255844 0.173410
1211.610474 300.315094 0.560361
1216.669800 158.654129 0.603211
1225.102051 92.882965 0.525114
1235.220703 96.255844 0.059185
1258.830811 313.806610 0.518918
1289.186768 192.382919 0.864394
1306.051147 114.806686 0.565981
1306.051147 96.255844 0.121020
1304.364746 328.984558 0.620592
1339.779907 249.721878 0.681204
1354.957886 199.128677 0.761088
1366.762939 150.221924 0.744797
