Left hand keypoints:
1126.671631 544.948120 0.203851
1072.338501 487.322113 0.453507
1034.469971 401.706360 0.537208
1019.651917 316.090607 0.748224
1045.995239 255.171692 0.174158
1118.439331 347.373291 0.210744
1097.035400 281.515015 0.245994
1060.813354 238.707123 0.347636
1049.288086 223.889008 0.113291
1153.014893 355.605560 0.251950
1136.550293 307.858307 0.237260
1097.035400 238.707123 0.154959
1125.025146 319.383514 0.034663
1200.762207 367.130768 0.257946
1202.408569 268.343353 0.180554
1207.348022 242.000046 0.064835
1161.247192 357.252014 0.012188
1241.923584 372.070129 0.345380
1278.145630 307.858307 0.422496
1307.781860 260.111053 0.371922
1320.953491 238.707123 0.056475
