Left hand keypoints:
1285.027954 548.425537 0.423247
1236.394287 449.043640 0.739238
1187.760620 362.348846 0.894250
1170.844604 273.539520 0.829734
1179.302612 191.073715 0.855421
1287.142456 288.341064 0.746898
1293.485962 174.157654 0.897399
1301.944092 102.264397 0.805258
1308.287598 53.630718 0.309199
1346.348755 305.257141 0.751116
1388.638794 174.157654 0.804017
1418.241943 104.378906 0.838105
1443.616089 53.630718 0.648388
1390.753418 328.516724 0.742276
1456.303101 222.791336 0.924623
1504.936768 161.470612 0.797800
1538.768921 112.836929 0.891305
1435.158081 362.348846 0.786931
1507.051270 307.371643 0.763285
1549.341431 269.310486 0.820690
1589.517090 233.363876 0.903604
