Left hand keypoints:
1122.462769 601.028320 0.223023
1073.988647 528.317139 0.391397
1027.130249 426.521515 0.504945
1049.751587 347.347107 0.612827
1091.762451 282.714966 0.322392
1023.898682 337.652313 0.421983
1077.220215 276.251740 0.191730
1077.220215 258.477905 0.085520
1098.225708 276.251740 0.084635
1064.293823 339.268097 0.196774
1122.462769 306.952026 0.102555
1151.547241 242.319870 0.060387
1135.389160 347.347107 0.026781
1140.236572 347.347107 0.229140
1167.705200 269.788544 0.075737
1162.857788 239.088257 0.055015
1188.710693 384.510620 0.025370
1201.637085 360.273560 0.425234
1229.105835 284.330780 0.494570
1242.032227 239.088257 0.264809
1246.879639 242.319870 0.071065
