Left hand keypoints:
1206.881470 494.278412 0.182092
1152.612427 443.401215 0.423573
1106.822998 367.085449 0.626020
1077.992554 285.681946 0.749045
1081.384399 209.366165 0.629828
1225.536377 290.769653 0.267045
1156.004272 241.588379 0.579161
1142.437012 177.143936 0.456291
1133.957520 148.313538 0.088569
1267.934082 324.687775 0.363201
1296.764526 294.161469 0.085260
1250.974976 166.968506 0.031613
1427.349243 177.143936 0.020970
1306.939941 343.342743 0.375742
1383.255737 285.681946 0.166947
1403.606567 233.108856 0.067815
1425.653320 178.839844 0.042370
1335.770264 360.301819 0.272940
1386.647461 282.290131 0.178839
1405.302490 221.237503 0.124136
1437.524658 178.839844 0.080206
