Left hand keypoints:
1156.432739 556.657959 0.146817
1100.345337 476.533081 0.161451
1077.910278 388.395721 0.191266
1095.537842 305.065857 0.093462
1132.395264 343.525787 0.013641
1069.897827 388.395721 0.065669
1060.282837 396.408203 0.023686
1117.972778 375.575745 0.039146
1125.985229 406.023193 0.013265
1133.997803 386.793213 0.042011
1121.177734 402.818207 0.026086
1150.022705 381.985718 0.028547
1156.432739 375.575745 0.012063
1174.060181 380.383240 0.082214
1182.072632 375.575745 0.030036
1183.675171 377.178223 0.018529
1162.842651 375.575745 0.011837
1212.520142 377.178223 0.221763
1236.557617 313.078339 0.326733
1250.980103 269.810913 0.155550
1255.787598 242.568451 0.062572
