Left hand keypoints:
1203.918701 513.482483 0.372888
1144.519653 452.386292 0.513213
1105.486084 372.621857 0.616080
1086.817749 280.977631 0.858312
1097.000488 206.304535 0.813252
1169.976440 306.434357 0.558928
1141.125488 213.092987 0.790284
1127.548584 146.905487 0.633521
1127.548584 112.963173 0.173777
1222.587036 309.828583 0.466643
1224.284180 184.242035 0.629987
1234.466797 126.540092 0.587523
1241.255249 112.963173 0.073056
1265.014893 321.708405 0.489374
1304.048584 201.213181 0.741280
1321.019775 129.934326 0.489427
1317.625488 112.963173 0.061023
1317.625488 336.982452 0.622655
1351.567871 262.309357 0.677652
1366.841797 209.698761 0.779413
1375.327393 155.391068 0.741244
