Left hand keypoints:
1121.761841 564.753601 0.366936
1078.604370 497.427948 0.414303
1056.162476 412.839325 0.487779
1083.783203 323.071808 0.698115
1137.298462 252.293579 0.328393
997.468323 350.692596 0.419319
1040.625732 240.209488 0.103144
1035.446899 221.220215 0.061305
1147.656250 250.567276 0.032486
1037.173218 359.324066 0.136117
1133.845947 279.914337 0.067147
1107.951416 221.220215 0.051396
1149.382568 254.019882 0.023503
1057.888794 374.860748 0.080345
1118.309204 288.545837 0.054273
1178.729614 236.756897 0.033019
1161.466675 259.198761 0.015425
1120.035522 359.324066 0.028165
1173.550781 323.071808 0.059218
1177.003296 264.377655 0.053413
1177.003296 257.472473 0.020131
