Left hand keypoints:
1125.954468 623.009033 0.236409
1070.316650 537.915955 0.439775
1024.497314 446.277283 0.556784
1063.770996 346.456543 0.598395
1117.772461 292.455170 0.522770
1022.860901 351.365753 0.191739
1062.134644 325.183289 0.125101
1091.589966 315.364838 0.122411
1088.317139 362.820587 0.054927
1091.589966 341.547333 0.164028
1127.590820 303.910004 0.141713
1139.045654 331.728912 0.072005
1142.318481 338.274536 0.060303
1139.045654 357.911377 0.236970
1155.409790 336.638123 0.055156
1152.136963 325.183289 0.027235
1179.955811 385.730286 0.028185
1193.047119 364.457001 0.448379
1220.865967 289.182373 0.242242
1233.957153 259.727081 0.116693
1201.229126 389.003082 0.052743
