Left hand keypoints:
1283.917725 546.663513 0.421740
1234.500488 449.977692 0.748058
1197.974731 361.886139 0.886129
1185.083252 267.348877 0.875689
1234.500488 205.040237 0.934318
1281.769043 288.834625 0.714908
1288.214844 172.811615 0.908348
1298.957642 99.760101 0.785032
1303.254883 50.342896 0.324694
1337.632080 306.023224 0.785493
1387.049194 170.663040 0.828902
1408.535034 101.908676 0.839271
1438.614990 50.342896 0.667352
1387.049194 329.657532 0.802376
1457.952148 222.228821 0.937462
1507.369385 157.771606 0.800859
1539.598022 112.651543 0.852506
1430.020752 361.886139 0.775174
1507.369385 308.171783 0.783606
1550.340820 273.794617 0.838860
1593.312378 237.268845 0.914376
