Left hand keypoints:
1119.244263 610.121399 0.284548
1062.338501 515.278625 0.488258
1024.401367 420.435852 0.556632
1053.716431 330.766296 0.755535
1110.622192 266.962982 0.349343
1001.984009 360.081360 0.151077
1057.165283 299.726837 0.122743
1048.543213 216.954956 0.169370
1108.897705 263.514130 0.034755
1067.511841 365.254578 0.226208
1103.724487 279.033875 0.257953
1133.039551 216.954956 0.185642
1107.173340 263.514130 0.045832
1126.141846 360.081360 0.276163
1126.141846 277.309448 0.287610
1131.315063 234.199097 0.292004
1107.173340 256.616486 0.040389
1174.425415 363.530182 0.609873
1208.913818 294.553589 0.628220
1231.331177 249.718826 0.491035
1246.850830 220.403778 0.162791
