Left hand keypoints:
1112.665649 423.640076 0.646815
1054.895630 385.728485 0.520563
1009.762756 351.427521 0.619608
971.851135 306.294678 0.720718
930.328918 261.161835 0.515660
1018.789307 351.427521 0.377575
1000.736206 338.790314 0.373415
968.240540 291.852173 0.465489
926.718323 261.161835 0.660949
1056.700928 340.595642 0.645072
1015.178711 291.852173 0.578088
971.851135 262.967133 0.466451
948.382080 244.914001 0.557096
1080.170044 320.737183 0.706017
1058.506226 261.161835 0.838255
1038.647827 223.250229 0.845942
1009.762756 190.754578 0.870791
1109.055054 306.294678 0.807430
1112.665649 248.524628 0.842753
1103.639038 210.613022 0.827282
1100.028442 174.506744 0.981538
