Left hand keypoints:
1198.261475 500.904724 0.532637
1136.595215 442.762238 0.693176
1096.071655 359.953217 0.819332
1096.071655 278.906097 0.894421
1111.928711 208.430359 0.901080
1159.499878 285.953674 0.611774
1138.357056 189.049530 0.904894
1136.595215 122.097557 0.763513
1138.357056 90.383469 0.206177
1207.070923 296.525055 0.607333
1219.404175 167.906799 0.680975
1228.213745 106.240509 0.623974
1238.785034 90.383469 0.099270
1254.642090 308.858307 0.560391
1291.641846 189.049530 0.865227
1307.498901 116.811874 0.578917
1311.022705 90.383469 0.137676
1305.737061 331.762939 0.682643
1337.451050 254.239594 0.720339
1355.070068 204.906570 0.785158
1369.165161 150.287857 0.775732
