Left hand keypoints:
1285.423950 565.069580 0.332036
1240.775391 453.448059 0.681831
1212.362549 356.032928 0.836613
1220.480591 264.706238 0.875702
1271.217529 211.939713 0.867132
1283.394531 278.912598 0.636506
1297.600830 177.438507 0.862521
1315.866211 104.377167 0.708762
1330.072510 75.964417 0.095120
1332.102051 303.266388 0.683572
1382.839111 179.468002 0.795113
1415.310791 96.259239 0.691622
1435.605591 75.964417 0.201379
1382.839111 325.590698 0.702128
1459.959351 224.116592 0.892848
1506.637451 161.202667 0.710333
1539.109253 114.524574 0.779264
1429.517212 362.121368 0.754278
1508.666992 311.384308 0.707147
1549.256592 274.853638 0.841328
1593.905151 240.352448 0.933864
