Left hand keypoints:
1159.962280 655.337524 0.154420
1180.862549 462.411926 0.055710
1042.599243 388.457123 0.045895
1045.814575 383.633972 0.011467
1068.322632 468.842804 0.006961
1045.814575 390.064850 0.076422
1045.814575 385.241699 0.029337
1095.653687 378.810852 0.020511
1113.338623 353.087433 0.008711
1111.730835 390.064850 0.048873
1116.554077 373.987701 0.038042
1119.769409 353.087433 0.017818
1116.554077 346.656586 0.006279
1110.123169 610.321533 0.026590
1129.415771 378.810852 0.015876
1131.023438 454.373383 0.008897
1126.200317 481.704498 0.005141
1106.907715 623.183289 0.031141
1204.978271 301.640594 0.012375
1206.585938 298.425171 0.013654
1114.946289 491.350769 0.007726
