Left hand keypoints:
1157.210327 554.394348 0.199765
1099.677368 467.272888 0.437025
1076.664185 376.863861 0.639404
1096.389771 297.961456 0.798115
1137.484741 230.565628 0.200604
1107.896362 368.644867 0.020526
1145.703735 230.565628 0.035063
1162.141724 215.771423 0.087125
1265.701172 215.771423 0.043903
1142.416138 371.932465 0.083318
1148.991333 245.359833 0.042317
1160.497925 230.565628 0.119843
1135.840942 215.771423 0.043666
1172.004639 375.220062 0.137510
1137.484741 255.222641 0.020926
1160.497925 232.209427 0.057946
1134.197144 215.771423 0.086018
1213.099609 376.863861 0.422043
1237.756592 309.468048 0.655989
1252.550781 258.510254 0.646393
1262.413574 215.771423 0.360704
