Left hand keypoints:
1112.548096 433.451050 0.666809
1056.221802 396.486938 0.523803
1013.977173 370.084045 0.717557
987.574280 326.079163 0.572839
998.135437 282.074310 0.499501
1022.778137 366.563629 0.495645
985.814087 319.038391 0.710899
954.130554 301.436432 0.784026
922.447083 271.513123 0.870986
1056.221802 348.961700 0.721701
1012.216980 287.354889 0.693447
975.252869 259.191772 0.798092
943.569397 231.028656 0.910137
1077.344116 329.599548 0.703522
1056.221802 273.273346 0.854466
1040.380127 234.549057 0.846228
1013.977173 201.105362 0.960564
1105.507324 315.518005 0.841285
1107.267456 259.191772 0.831122
1100.226685 225.748077 0.867653
1096.706299 188.783997 0.940896
