Left hand keypoints:
1139.208740 629.746948 0.149450
1169.073120 500.858490 0.038010
1055.902832 329.531097 0.018026
1057.474609 293.379456 0.020165
1076.336304 327.959290 0.018329
1121.918823 356.251892 0.058439
1117.203369 302.810333 0.116777
1106.200684 241.509705 0.163874
1107.772583 225.791595 0.055865
1107.772583 362.539124 0.026738
1117.203369 313.812988 0.045445
1107.772583 225.791595 0.037647
1081.051758 225.791595 0.012652
1153.355103 362.539124 0.010505
1110.916138 290.235840 0.023486
1095.197998 239.937897 0.016404
1082.623535 225.791595 0.009563
1253.950928 368.826385 0.012811
1282.243530 313.812988 0.136354
1318.395142 269.802307 0.202360
1334.113281 249.368759 0.024619
