Left hand keypoints:
1201.979004 631.473206 0.140563
1224.702759 517.854736 0.031695
1151.662231 373.396973 0.060515
1127.315430 266.270966 0.338660
1143.546631 188.361160 0.057615
1214.963989 353.919525 0.047945
1214.963989 277.632812 0.216108
1184.124756 219.200455 0.444386
1159.777832 189.984283 0.247800
1236.064575 375.020081 0.061649
1223.079590 297.110260 0.039322
1169.516602 217.577332 0.033523
1171.139771 189.984283 0.024506
1288.004517 376.643219 0.035550
1245.803345 415.598114 0.024165
1237.687744 400.990021 0.019394
1159.777832 189.984283 0.028233
1307.481934 332.818939 0.047557
1286.381348 313.341492 0.016015
1182.501587 217.577332 0.034743
1174.385986 211.084854 0.023919
