Left hand keypoints:
1261.113647 541.068604 0.214751
1226.170532 434.183441 0.571149
1224.114990 329.353790 0.637837
1226.170532 230.690598 0.853044
1254.947266 179.303513 0.496875
1291.945923 323.187347 0.635200
1275.502075 232.746094 0.684292
1281.668579 177.248032 0.611874
1279.613037 107.361603 0.667342
1349.499512 331.409302 0.676072
1382.387207 206.024811 0.733978
1417.330444 132.027405 0.754919
1437.885254 111.472572 0.240448
1394.720093 349.908630 0.671149
1472.828491 247.134476 0.864166
1520.104614 179.303513 0.721956
1552.992310 132.027405 0.699204
1437.885254 378.685394 0.780967
1509.827148 317.020905 0.716952
1555.047852 277.966705 0.840440
1600.268433 240.968018 0.812390
