Left hand keypoints:
1175.004517 636.656128 0.303267
1134.699951 542.612061 0.445786
1094.395264 450.247406 0.659818
1134.699951 383.073090 0.218805
1169.966431 362.920776 0.139764
1139.738037 344.447845 0.162149
1144.776001 327.654266 0.165134
1181.721924 305.822632 0.253096
1200.194824 290.708405 0.094635
1181.721924 359.562073 0.148857
1222.026489 334.371704 0.067168
1230.423340 337.730408 0.037717
1183.401245 369.638214 0.019532
1243.858154 371.317566 0.210589
1292.559570 371.317566 0.022923
1269.048584 409.942810 0.014472
1270.727905 414.980865 0.036627
1284.162720 386.431793 0.378704
1337.902222 325.974915 0.287152
1376.527466 277.273529 0.237526
1391.641602 252.083176 0.053337
